location,date,new_cases,population,population_density
Belgium,15-03-20,179,11589616,375.564
Belgium,16-03-20,214,11589616,375.564
Belgium,17-03-20,387,11589616,375.564
Belgium,18-03-20,422,11589616,375.564
Belgium,19-03-20,534,11589616,375.564
Belgium,20-03-20,713,11589616,375.564
Belgium,21-03-20,662,11589616,375.564
Belgium,22-03-20,469,11589616,375.564
Belgium,23-03-20,486,11589616,375.564
Belgium,24-03-20,1328,11589616,375.564
Belgium,25-03-20,1195,11589616,375.564
Belgium,26-03-20,1199,11589616,375.564
Belgium,27-03-20,1363,11589616,375.564
Belgium,28-03-20,1518,11589616,375.564
Belgium,29-03-20,844,11589616,375.564
Belgium,30-03-20,683,11589616,375.564
Belgium,31-03-20,1738,11589616,375.564
Belgium,01-04-20,1681,11589616,375.564
Belgium,02-04-20,1516,11589616,375.564
Belgium,03-04-20,1478,11589616,375.564
Belgium,04-04-20,1694,11589616,375.564
Belgium,05-04-20,922,11589616,375.564
Belgium,06-04-20,665,11589616,375.564
Belgium,07-04-20,1934,11589616,375.564
Belgium,08-04-20,1515,11589616,375.564
Belgium,09-04-20,1598,11589616,375.564
Belgium,10-04-20,2239,11589616,375.564
Belgium,11-04-20,2336,11589616,375.564
Belgium,12-04-20,1029,11589616,375.564
Belgium,13-04-20,524,11589616,375.564
Belgium,14-04-20,537,11589616,375.564
Belgium,15-04-20,1560,11589616,375.564
Belgium,16-04-20,1633,11589616,375.564
Belgium,17-04-20,1674,11589616,375.564
Belgium,18-04-20,1394,11589616,375.564
Belgium,19-04-20,722,11589616,375.564
Belgium,20-04-20,443,11589616,375.564
Belgium,21-04-20,1276,11589616,375.564
Belgium,22-04-20,1270,11589616,375.564
Belgium,23-04-20,777,11589616,375.564
Belgium,24-04-20,976,11589616,375.564
Belgium,25-04-20,811,11589616,375.564
Belgium,26-04-20,388,11589616,375.564
Belgium,27-04-20,205,11589616,375.564
Belgium,28-04-20,755,11589616,375.564
Belgium,29-04-20,569,11589616,375.564
Belgium,30-04-20,522,11589616,375.564
Belgium,01-05-20,586,11589616,375.564
Belgium,02-05-20,237,11589616,375.564
Belgium,03-05-20,286,11589616,375.564
Belgium,04-05-20,140,11589616,375.564
Belgium,05-05-20,670,11589616,375.564
Belgium,06-05-20,547,11589616,375.564
Belgium,07-05-20,552,11589616,375.564
Belgium,08-05-20,442,11589616,375.564
Belgium,09-05-20,483,11589616,375.564
Belgium,10-05-20,240,11589616,375.564
Belgium,11-05-20,118,11589616,375.564
Belgium,12-05-20,476,11589616,375.564
Belgium,13-05-20,395,11589616,375.564
Belgium,14-05-20,321,11589616,375.564
Belgium,15-05-20,305,11589616,375.564
Belgium,16-05-20,346,11589616,375.564
Belgium,17-05-20,147,11589616,375.564
Belgium,18-05-20,81,11589616,375.564
Belgium,19-05-20,317,11589616,375.564
Belgium,20-05-20,292,11589616,375.564
Belgium,21-05-20,385,11589616,375.564
Belgium,22-05-20,70,11589616,375.564
Belgium,23-05-20,248,11589616,375.564
Belgium,24-05-20,123,11589616,375.564
Belgium,25-05-20,75,11589616,375.564
Belgium,26-05-20,314,11589616,375.564
Belgium,27-05-20,202,11589616,375.564
Belgium,28-05-20,182,11589616,375.564
Belgium,29-05-20,171,11589616,375.564
Belgium,30-05-20,165,11589616,375.564
Belgium,31-05-20,61,11589616,375.564
Belgium,01-06-20,49,11589616,375.564
Belgium,02-06-20,59,11589616,375.564
Belgium,03-06-20,181,11589616,375.564
Belgium,04-06-20,159,11589616,375.564
Belgium,05-06-20,172,11589616,375.564
Belgium,06-06-20,154,11589616,375.564
Belgium,07-06-20,69,11589616,375.564
Belgium,08-06-20,53,11589616,375.564
Belgium,09-06-20,152,11589616,375.564
Belgium,10-06-20,145,11589616,375.564
Belgium,11-06-20,119,11589616,375.564
Belgium,12-06-20,95,11589616,375.564
Belgium,13-06-20,89,11589616,375.564
Belgium,14-06-20,49,11589616,375.564
Belgium,15-06-20,22,11589616,375.564
Belgium,16-06-20,147,11589616,375.564
Belgium,17-06-20,99,11589616,375.564
Belgium,18-06-20,123,11589616,375.564
Belgium,19-06-20,108,11589616,375.564
Belgium,20-06-20,121,11589616,375.564
Belgium,21-06-20,50,11589616,375.564
Belgium,22-06-20,20,11589616,375.564
Belgium,23-06-20,143,11589616,375.564
Belgium,24-06-20,110,11589616,375.564
Belgium,25-06-20,100,11589616,375.564
Belgium,26-06-20,76,11589616,375.564
Belgium,27-06-20,113,11589616,375.564
Belgium,28-06-20,41,11589616,375.564
Belgium,29-06-20,24,11589616,375.564
Belgium,30-06-20,127,11589616,375.564
Belgium,01-07-20,100,11589616,375.564
Belgium,02-07-20,135,11589616,375.564
Belgium,03-07-20,93,11589616,375.564
Belgium,04-07-20,94,11589616,375.564
Belgium,05-07-20,64,11589616,375.564
Belgium,06-07-20,24,11589616,375.564
Belgium,07-07-20,112,11589616,375.564
Belgium,08-07-20,99,11589616,375.564
Belgium,09-07-20,137,11589616,375.564
Belgium,10-07-20,124,11589616,375.564
Belgium,11-07-20,127,11589616,375.564
Belgium,12-07-20,62,11589616,375.564
Belgium,13-07-20,43,11589616,375.564
Belgium,14-07-20,224,11589616,375.564
Belgium,15-07-20,207,11589616,375.564
Belgium,16-07-20,260,11589616,375.564
Belgium,17-07-20,226,11589616,375.564
Belgium,18-07-20,274,11589616,375.564
Belgium,19-07-20,130,11589616,375.564
Belgium,20-07-20,64,11589616,375.564
Belgium,21-07-20,443,11589616,375.564
Belgium,22-07-20,145,11589616,375.564
Belgium,23-07-20,553,11589616,375.564
Belgium,24-07-20,439,11589616,375.564
Belgium,25-07-20,496,11589616,375.564
Belgium,26-07-20,229,11589616,375.564
Belgium,27-07-20,184,11589616,375.564
Belgium,28-07-20,595,11589616,375.564
Belgium,29-07-20,685,11589616,375.564
Belgium,30-07-20,703,11589616,375.564
Belgium,31-07-20,635,11589616,375.564
Belgium,01-08-20,684,11589616,375.564
Belgium,02-08-20,309,11589616,375.564
Belgium,03-08-20,148,11589616,375.564
Belgium,04-08-20,794,11589616,375.564
Belgium,05-08-20,814,11589616,375.564
Belgium,06-08-20,767,11589616,375.564
Belgium,07-08-20,769,11589616,375.564
Belgium,08-08-20,771,11589616,375.564
Belgium,09-08-20,304,11589616,375.564
Belgium,10-08-20,122,11589616,375.564
Belgium,11-08-20,873,11589616,375.564
Belgium,12-08-20,718,11589616,375.564
Belgium,13-08-20,609,11589616,375.564
Belgium,14-08-20,669,11589616,375.564
Belgium,15-08-20,587,11589616,375.564
Belgium,16-08-20,163,11589616,375.564
Belgium,17-08-20,132,11589616,375.564
Belgium,18-08-20,707,11589616,375.564
Belgium,19-08-20,725,11589616,375.564
Belgium,20-08-20,612,11589616,375.564
Belgium,21-08-20,581,11589616,375.564
Belgium,22-08-20,510,11589616,375.564
Belgium,23-08-20,203,11589616,375.564
Belgium,24-08-20,115,11589616,375.564
Belgium,25-08-20,607,11589616,375.564
Belgium,26-08-20,527,11589616,375.564
Belgium,27-08-20,526,11589616,375.564
Belgium,28-08-20,535,11589616,375.564
Belgium,29-08-20,614,11589616,375.564
Belgium,30-08-20,195,11589616,375.564
Belgium,31-08-20,117,11589616,375.564
Belgium,01-09-20,634,11589616,375.564
Belgium,02-09-20,565,11589616,375.564
Belgium,03-09-20,574,11589616,375.564
Belgium,04-09-20,677,11589616,375.564
Belgium,05-09-20,728,11589616,375.564
Belgium,06-09-20,322,11589616,375.564
Belgium,07-09-20,155,11589616,375.564
Belgium,08-09-20,918,11589616,375.564
Belgium,09-09-20,871,11589616,375.564
Belgium,10-09-20,1024,11589616,375.564
Belgium,11-09-20,1143,11589616,375.564
Belgium,12-09-20,1284,11589616,375.564
Belgium,13-09-20,617,11589616,375.564
Belgium,14-09-20,301,11589616,375.564
Belgium,15-09-20,1726,11589616,375.564
Belgium,16-09-20,1628,11589616,375.564
Belgium,17-09-20,1942,11589616,375.564
Belgium,18-09-20,1751,11589616,375.564
Belgium,19-09-20,1709,11589616,375.564
Belgium,20-09-20,894,11589616,375.564
Belgium,21-09-20,461,11589616,375.564
Belgium,22-09-20,2202,11589616,375.564
Belgium,23-09-20,2074,11589616,375.564
Belgium,24-09-20,2096,11589616,375.564
Belgium,25-09-20,1796,11589616,375.564
Belgium,26-09-20,1622,11589616,375.564
Belgium,27-09-20,944,11589616,375.564
Belgium,28-09-20,540,11589616,375.564
Belgium,29-09-20,2782,11589616,375.564
Belgium,30-09-20,2984,11589616,375.564
Belgium,01-10-20,3243,11589616,375.564
Belgium,02-10-20,3409,11589616,375.564
Belgium,03-10-20,3720,11589616,375.564
Belgium,04-10-20,1709,11589616,375.564
Belgium,05-10-20,1035,11589616,375.564
Belgium,06-10-20,5248,11589616,375.564
Belgium,07-10-20,5687,11589616,375.564
Belgium,08-10-20,6803,11589616,375.564
Belgium,09-10-20,6586,11589616,375.564
Belgium,10-10-20,7786,11589616,375.564
Belgium,11-10-20,4309,11589616,375.564
Belgium,12-10-20,2403,11589616,375.564
Belgium,13-10-20,9733,11589616,375.564
Belgium,14-10-20,12574,11589616,375.564
Belgium,15-10-20,12288,11589616,375.564
Belgium,16-10-20,11810,11589616,375.564
Belgium,17-10-20,13473,11589616,375.564
Belgium,18-10-20,7993,11589616,375.564
Belgium,19-10-20,4289,11589616,375.564
Belgium,20-10-20,15558,11589616,375.564
